Antboy;2013;tt2436046;223306;737;5.4;0;0;1;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Les Apaches;2013;tt2848070;220880;187;5.8;4;10;31;19;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fading Gigolo;2013;tt2258345;204226;15262;6.2;7;34;73;41;10;5;0;2;3;0;1;1;1;6;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Aquadro;2013;tt2716374;225414;35;6.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Are You Here;2013;tt1545754;175182;7749;5.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Raze;2013;tt2111392;200076;3394;5.1;0;3;8;7;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Identity Thief;2013;tt2024432;196847;81974;5.7;4;14;28;42;20;11;0;1;2;0;2;0;4;4;2;5;1;0;0;1;2;2;5;0;0;0;3;3;0;0;
Arrêtez-moi;2013;tt2290129;194153;204;5.3;20;32;31;27;28;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Art of the Steal;2013;tt2172985;222935;15369;6.3;1;3;10;4;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;0;0;
Artémis, coeur d'artichaut;2013;tt2767378;222513;24;6.5;1;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
As I Lay Dying;2013;tt1807944;189856;2643;5.4;0;3;6;7;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
Ass Backwards;2013;tt1509788;183022;1578;4.2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Assassins Run;2013;tt1502417;217568;941;4.4;0;0;1;0;0;0;0;0;0;0;0;0;2;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;
Supercollider;2013;tt2326124;226392;213;3.7;0;0;0;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Attila Marcel;2013;tt2474438;54342;1205;7.0;10;32;24;15;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Au bonheur des ogres;2013;tt2129887;174297;582;6.3;8;45;56;33;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Au bout du conte;2013;tt2241691;201455;861;6.0;24;137;156;124;51;43;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Tore tanzt;2013;tt2822400;221135;557;6.9;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avalanche Sharks;2013;tt2622826;221251;755;2.1;2;1;5;1;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avant l'hiver;2013;tt2231630;212752;893;6.3;3;19;30;50;17;9;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Emil & Ida i Lönneberga;2013;tt3394878;226430;41;5.2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Adventurer: The Curse of the Midas Box;2013;tt1376213;223932;2995;5.4;0;3;4;5;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
500 MPH Storm;2013;tt2518848;218234;1267;2.2;0;0;1;1;1;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
Aya de Yopougon;2013;tt2077703;194895;151;6.5;8;23;22;7;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baby Balloon;2013;tt3331326;228014;32;5.5;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Jackass Presents: Bad Grandpa;2013;tt3063516;186887;69191;6.6;10;22;43;32;15;10;0;0;1;0;1;0;10;4;13;4;1;1;0;1;4;4;2;0;0;1;0;0;0;0;
Bad Words;2013;tt2170299;210042;28839;6.7;0;5;13;6;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Banklady;2013;tt1798108;199250;274;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;
Banshee Chapter;2013;tt2011276;196497;4111;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;
Barbie in the Pink Shoes;2013;tt2630134;217259;631;5.1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Battle of the Damned;2013;tt2210463;215593;2448;4.5;0;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Before Midnight;2013;tt2209418;208883;75323;8.0;8;17;31;17;6;3;1;3;1;1;1;0;19;8;4;4;3;1;4;2;1;1;0;0;0;2;1;0;1;0;
Bela Kiss: Prologue;2013;tt1830495;200955;423;4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;
Believe;2013;tt2009606;228866;436;5.5;0;2;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Belle;2013;tt2404181;223209;12260;7.4;3;5;4;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Belle et Sébastien;2013;tt3146360;208626;1670;6.8;95;174;89;45;13;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
