Fading Gigolo;2013;tt2258345;204226;15262;6.2;1079;3.1;7;34;73;41;10;5;34;2.8;0;2;3;0;1;1;79;3.6;1;6;5;1;1;0;14;3.2;0;0;0;0;0;0;8;3.0;0;0;0;0;0;0;
Aquadro;2013;tt2716374;225414;35;6.5;1;3.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
L'arbitro;2013;tt3148468;224588;362;6.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Are You Here;2013;tt1545754;175182;7749;5.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3.0;0;0;1;0;0;0;5;3.0;0;0;0;0;0;0;
Raze;2013;tt2111392;200076;3394;5.1;97;2.2;0;3;8;7;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Identity Thief;2013;tt2024432;196847;81974;5.7;845;2.5;4;14;28;42;20;11;43;2.8;0;1;2;0;2;0;154;3.8;4;4;2;5;1;0;116;2.7;0;1;2;2;5;0;21;2.9;0;0;3;3;0;0;
Arrêtez-moi;2013;tt2290129;194153;204;5.3;552;2.7;20;32;31;27;28;15;2;3.0;0;0;0;0;0;0;7;3.3;0;0;0;0;0;0;2;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
The Art of the Steal;2013;tt2172985;222935;15369;6.3;186;3.3;1;3;10;4;1;0;7;3.0;0;0;1;1;0;0;24;3.5;0;0;0;0;0;0;14;3.2;0;0;1;1;0;0;8;3.1;0;1;2;0;0;0;
Artémis, coeur d'artichaut;2013;tt2767378;222513;24;6.5;35;3.3;1;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
As Cool as I Am;2013;tt1906329;194850;3178;5.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3.5;0;0;0;0;0;0;3;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
As I Lay Dying;2013;tt1807944;189856;2643;5.4;136;3.1;0;3;6;7;2;1;5;3.0;0;0;0;1;0;0;7;3.1;0;0;0;0;0;0;11;3.1;0;0;0;0;0;0;6;2.9;0;0;0;1;0;0;
