2011,tt1562928,"Wolf Town",John Rebel,198142,13,2.3,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1547090,"Without Men",Gabriela Tagliavini,196049,53,1.9,0,1,0,0,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2140671,"Wither",Sonny Laguna,219458,7,3.1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1684925,"Wish You Were Here",Kieran Darcy-Smith,200611,6,3.2,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1872124,"Wir wollten aufs Meer",Toke Constantin Hebbeln,206405,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,
2010,tt1692504,"Wir sind die Nacht",Dennis Gansel,175987,648,3.3,24,36,45,27,16,7,9,3.2,0,1,0,0,0,0,9,3.2,0,0,0,0,0,0,47,3.2,1,2,1,2,0,0,33,2.3,0,2,0,1,1,1,0,0,0,0,0,
2010,tt1399683,"Winter's Bone",Debra Granik,177805,1765,3.6,45,113,91,59,28,12,48,3.4,0,1,4,0,0,0,241,3.8,3,5,3,5,0,0,145,3.9,1,4,3,0,0,0,96,3,0,4,3,4,0,1,0,0,0,0,0,
2011,tt1606392,"Win Win",Thomas McCarthy,178307,345,3.3,4,14,19,10,3,2,22,3.1,1,1,1,2,0,1,5,3.1,0,0,0,0,0,0,22,3.4,0,0,1,0,0,0,23,3.5,0,2,1,0,0,0,0,0,0,0,0,
2013,tt2885364,"Willow Creek",Bobcat Goldthwait,222424,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1636844,"Will",Ellen Perry,199090,17,3.3,0,0,3,0,0,0,5,3.2,0,0,0,0,0,0,5,3.2,0,0,0,0,0,0,5,3.2,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1795702,"Wild Bill",Dexter Fletcher,194863,28,3.5,0,4,1,1,0,0,6,3.2,0,1,0,0,0,0,6,3.2,0,0,0,0,0,0,9,3.3,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0,0,0,0,0,0,
2012,tt2187195,"Wilaya",Pedro Pérez Rosado,191305,3,3.1,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt1535975,"Wiener Dog Nationals",Kevan Peterson,223967,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1428464,"Wie man leben soll",David Schalko,198183,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,tt1584941,"Wickie auf großer Fahrt",Christian Ditter,181133,26,2.8,0,0,1,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,2.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,tt1853643,"Why Stop Now?",Phil Dorling,208734,9,2.9,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,2.9,0,0,0,0,0,0,0,0,0,0,0,
2010,tt1391137,"Why Did I Get Married Too?",Tyler Perry,193230,47,3.6,3,2,2,0,0,0,3,3,0,0,0,0,0,0,9,3.2,3,0,0,0,0,1,6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt2847238,"Who Needs Enemies",Peter Stylianou,224512,1,3.1,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt2297063,"Whitewash",Emanuel Hoss-Desmarais,204530,5,2.9,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
2013,tt3077150,"White Shadow",Noaz Deshe,226535,27,3.3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
