Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,imdb numVotes,,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
42,2013,tt0453562,135624,2028,2420,5048,4042,1609,533,200,80,60,214,16234,7.66,1802,4541,2240,131,26,425,4.2,9,16,23,2,0,0,0,0,0,0,0,0,0,0,75,4.1,5,4,1,0,0,0,39,3.6,2,0,1,0,0,0,6,3.2,0,0,0,0,0,0
Beautiful Creatures,2013,tt1559547,176164,922,598,1363,1969,1809,1090,632,357,209,416,9365,6.41,95,382,1155,718,216,4707,3,77,142,187,183,131,139,68,3.6,3,1,2,1,0,1,693,3.9,18,12,24,16,13,5,64,3.4,2,2,2,3,0,0,39,3.5,0,2,1,0,1,0
The Bling Ring,2013,tt2132285,204184,380,273,756,1430,1885,1436,846,431,237,332,8006,5.78,3475,11970,21237,7916,3668,4523,2.5,17,75,181,200,109,60,34,2.8,0,1,1,1,1,0,306,3.8,1,6,6,2,3,0,89,2.7,2,1,1,1,3,3,21,3.3,0,0,5,0,0,0
Broken City,2013,tt1235522,138189,219,195,772,2040,2699,1418,573,221,114,209,8460,6.04,61,353,1825,877,116,1419,2.9,2,23,69,86,16,5,64,2.9,0,0,3,0,1,0,82,3.7,0,0,4,2,0,0,95,3.1,0,1,3,2,0,0,23,3.3,0,0,0,0,1,0
Snitch,2013,tt0882977,130326,464,397,1303,2695,2112,881,336,136,76,163,8563,6.62,172,782,2564,968,168,1544,3.5,12,51,110,40,7,1,50,2.9,0,0,7,1,1,1,170,4.2,2,6,9,1,0,0,105,3.4,0,0,4,2,1,0,31,3.7,0,0,1,0,0,0
Filth,2013,tt1450321,201765,344,396,991,1288,821,405,178,99,69,89,4680,6.87,2255,4746,2829,359,51,582,3.8,10,36,22,13,3,1,12,3.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,3.7,4,6,1,1,0,0,19,3.5,0,1,1,0,0,0
August: Osage County,2013,tt1322269,186179,927,1191,2395,2330,1175,564,273,166,101,218,9340,7.21,3882,7280,3105,322,59,2237,3.6,32,137,115,57,31,6,111,3.5,3,4,6,0,1,1,345,4.1,8,22,18,2,1,0,62,3.5,0,4,1,0,1,1,16,2.8,0,0,0,1,0,1
21 & Over,2013,tt1711425,194474,448,319,747,1360,1900,1278,580,377,204,340,7553,5.94,288,988,2813,1187,266,323,2.9,2,6,10,11,4,6,8,2.6,0,0,0,0,0,0,283,4.1,5,7,8,1,2,1,52,2.9,0,0,3,2,1,0,25,2.9,0,1,2,2,0,0
Turbo,2013,tt1860353,191356,437,312,863,1578,1612,741,369,153,93,165,6323,6.45,2876,9707,10090,1150,144,2482,3.8,27,133,108,34,12,5,67,3.6,0,2,1,2,0,0,284,4.2,9,2,7,6,1,1,80,3.7,1,1,1,0,0,0,25,3.7,0,1,4,0,0,0
All Is Lost,2013,tt2017038,200956,545,873,1930,2392,1250,613,268,160,121,214,8366,6.94,1119,2970,1896,265,70,1308,3.3,17,76,78,42,22,18,34,2.8,0,0,4,0,1,0,102,3.3,3,2,10,2,2,1,89,3.4,1,5,5,0,2,0,26,3.3,0,3,3,2,0,0
Dead Man Down,2013,tt2101341,199062,350,351,1061,2093,1613,718,279,127,63,139,6794,6.60,79,431,1552,589,76,1613,3.5,14,71,108,51,9,2,32,3.2,0,0,3,1,1,0,55,3.7,0,2,3,0,0,0,67,3.2,0,4,0,1,0,0,27,3.4,0,0,2,1,0,0
Machete Kills,2013,tt2002718,196177,453,253,612,1150,1513,1069,663,312,230,360,6615,5.83,355,807,2488,1456,536,2325,2.9,29,79,113,80,45,30,0,0,0,0,0,0,0,0,75,3.8,2,2,3,1,2,2,133,3,1,3,7,3,4,1,19,3.4,0,0,3,1,0,0
Delivery Man,2013,tt2387559,210939,325,278,883,1867,1807,852,363,162,75,128,6740,6.41,75,380,673,91,14,0,0,0,0,0,0,0,0,23,2.6,0,0,2,2,0,1,172,4.1,4,5,10,2,0,0,24,2.4,0,0,1,1,1,3,13,3.2,0,1,2,2,0,0
Runner Runner,2013,tt2364841,206201,136,130,342,1041,1691,1305,600,297,150,227,5919,5.58,52,237,1743,1414,252,2274,2.6,3,22,83,104,40,6,49,2.7,0,0,0,3,0,1,204,3.8,3,4,2,9,3,0,89,3.1,0,1,1,3,1,0,27,3.4,0,0,2,2,1,0
Scary Movie 5,2013,tt0795461,112361,259,67,121,213,395,549,700,751,687,1296,5038,3.67,361,949,3543,2892,1292,0,0,0,0,0,0,0,0,63,2.4,0,1,0,1,1,4,537,3.2,8,2,9,13,15,18,144,2.8,3,3,5,1,6,4,43,3,2,1,0,5,1,2
Enough Said,2013,tt2390361,223008,404,839,2181,2721,1140,363,144,59,36,74,7961,7.24,480,2065,1429,107,21,305,3.3,2,12,34,6,2,0,33,3.2,0,0,6,0,1,0,70,3.7,3,6,6,0,0,0,28,3.1,0,0,3,0,0,0,12,3.1,0,2,0,0,0,0
Europa Report,2013,tt2051879,197237,432,451,1230,2062,1548,766,333,166,84,132,7204,6.65,733,2192,2700,669,135,415,2.6,2,23,34,19,13,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3.1,0,1,3,3,1,0,0,0,0,0,0,0,0,0
Oldboy,2013,tt1321511,140489,362,295,744,1412,1501,1054,557,345,253,604,7127,5.72,300,1025,2096,725,146,1039,2.8,8,36,66,56,26,16,23,3.3,0,1,1,0,0,1,66,3,1,0,6,4,0,0,69,2.9,0,1,3,2,2,0,16,3.3,0,0,0,2,0,0
Fruitvale Station,2013,tt2334649,206453,1420,1607,2793,1948,710,243,124,114,269,231,9459,7.58,506,1855,1281,121,15,836,4,14,51,45,17,2,3,6,3.1,0,0,0,0,0,0,62,3.8,0,3,3,0,0,1,40,3.6,0,1,1,0,0,0,14,3.1,0,1,3,0,0,0
Drinking Buddies,2013,tt2265398,219607,354,391,1140,1911,1804,917,484,236,141,192,7570,6.35,56,244,542,202,41,221,2.3,0,2,8,10,4,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.3,0,0,0,1,0,0,9,2.9,0,1,0,1,1,0
Grudge Match,2013,tt1661382,186903,320,226,693,1547,1430,720,294,126,72,114,5542,6.42,207,698,899,120,16,1479,3.5,21,71,115,32,19,3,35,3,0,0,3,0,1,0,123,3.9,4,2,5,1,1,1,90,3.4,0,1,7,4,0,0,0,0,0,0,0,0,0,0
Short Term 12,2013,tt2370248,221967,1551,2104,2055,902,322,120,45,31,17,67,7214,8.33,579,1339,692,70,13,1608,4.2,31,103,45,19,7,5,13,3.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,3.7,1,2,0,0,0,0,10,3.2,0,2,0,0,0,0
Horns,2013,tt1528071,173989,417,357,1075,1515,1052,557,245,133,80,180,5611,6.67,185,91,46,17,47,2637,3.1,22,83,150,73,38,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Wedding,2013,tt1931435,196512,203,148,353,728,963,808,393,265,183,302,4346,5.55,137,642,2393,832,132,853,2.4,5,12,31,56,21,13,51,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,36,2.5,0,1,0,2,1,1,0,0,0,0,0,0,0,0
What If,2013,tt1486834,210229,233,299,744,1063,563,226,77,28,16,65,3314,7.06,236,150,47,18,45,577,3.3,2,12,24,8,5,3,22,3.4,0,0,3,1,0,0,186,3.9,0,5,8,1,0,0,0,0,0,0,0,0,0,0,11,3.3,0,1,0,1,0,0
Texas Chainsaw 3D,2013,tt1572315,193639,482,176,382,695,1038,1206,900,736,509,790,6914,4.95,166,516,2207,1421,421,1022,2,6,25,50,59,57,52,5,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,2.7,1,0,2,2,0,1,31,3.4,0,0,2,3,0,0
Planes,2013,tt1691917,183447,272,129,391,722,1016,740,422,216,140,298,4346,5.70,213,844,2206,530,74,1605,2.9,13,32,61,88,33,11,56,3,0,1,1,1,3,1,0,0,0,0,0,0,0,0,40,3.4,0,1,0,0,1,0,33,3.5,0,0,1,3,0,0
A Haunted House,2013,tt2243537,213654,431,174,394,707,880,918,664,460,378,644,5650,5.18,123,305,782,542,205,462,2.7,5,15,37,14,9,8,11,2.7,0,0,0,0,1,0,335,3.6,8,8,11,9,5,5,47,2.7,0,0,2,0,3,1,8,2.6,0,0,0,1,0,1
Chennai Express,2013,tt2112124,222532,130,50,87,117,124,104,61,40,46,154,913,5.63,36,106,240,58,14,106,4,11,4,7,3,0,0,0,0,0,0,0,0,0,0,4,3.2,0,0,0,0,0,0,13,3.3,0,1,0,0,0,1,21,3.8,0,1,1,0,0,0
Bad Words,2013,tt2170299,210042,399,511,1522,2484,1546,579,179,106,54,134,7514,6.87,69,233,334,48,8,170,3.1,0,5,13,6,1,1,6,3.1,0,0,1,0,0,0,12,3.3,0,1,0,0,0,0,4,3.1,0,0,0,0,0,0,6,3,0,0,0,0,0,0
Admission,2013,tt1814621,189444,186,157,550,1433,2140,1468,628,309,112,195,7178,5.82,54,277,1236,451,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.1,0,1,0,0,0,0,6,3,0,0,0,1,0,0
Labor Day,2013,tt1967545,172227,402,391,965,1334,731,373,158,86,38,104,4582,6.97,685,1659,1075,84,7,1611,3.9,21,97,69,26,10,1,26,3.3,0,1,2,0,0,0,47,3.7,1,2,2,0,0,1,34,3.5,0,3,5,0,0,0,8,3.1,0,0,1,0,0,0
The To Do List,2013,tt1758795,191425,325,253,624,1120,1297,659,325,144,92,140,4979,6.32,16,62,278,233,70,121,2.1,0,1,2,3,2,1,6,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.8,0,0,0,1,0,0,5,2.7,0,0,0,0,0,0
Killing Season,2013,tt1480295,185510,96,65,207,486,754,658,373,180,113,170,3102,5.43,132,654,1827,529,77,459,2.5,3,6,24,23,17,5,14,2.7,0,0,0,1,0,0,69,3.1,1,0,5,6,2,0,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Smurfs 2,2013,tt2017020,196701,271,79,141,286,401,405,213,162,124,306,2388,5.39,970,3572,8025,1808,338,1528,3.3,23,36,70,53,26,21,59,3.3,1,0,4,1,1,0,463,4.3,16,12,21,3,1,1,68,3.6,0,2,1,0,0,0,56,3.8,0,1,2,1,0,1
The Fifth Estate,2013,tt1837703,210472,154,84,291,594,670,387,185,98,61,192,2716,5.92,245,942,1964,434,66,651,3,9,13,37,28,6,9,41,3.1,0,0,1,3,0,1,43,3.8,3,1,1,0,0,0,38,3.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Welcome to the Punch,2013,tt1684233,193086,113,54,226,490,591,325,141,57,33,47,2077,6.20,146,543,2368,969,150,397,2.9,2,7,23,22,8,0,7,2.8,0,0,0,0,0,0,41,3.5,0,1,0,0,0,0,19,2.7,0,0,0,1,0,0,12,3.3,1,0,2,0,0,0
V/H/S/2,2013,tt2450186,216165,352,320,848,1249,1141,637,347,205,134,194,5427,6.34,184,576,853,226,57,119,3,2,9,9,5,4,3,6,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3.1,0,1,3,0,0,0,12,2.7,0,1,2,0,0,1
The Railway Man,2013,tt2058107,197317,188,216,518,658,323,124,49,8,16,41,2141,7.20,63,219,555,157,20,420,3.6,4,35,34,14,5,2,21,3.4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.2,0,1,1,0,0,0
Kill Your Darlings,2013,tt1311071,144804,272,220,518,732,567,282,143,64,39,104,2941,6.71,1185,3876,3192,337,61,0,0,0,0,0,0,0,0,12,3.3,0,0,2,0,0,0,109,4.1,1,4,2,0,1,0,28,3.4,0,4,0,0,0,0,13,3.3,1,1,0,1,0,0
Hours,2013,tt2094018,198182,328,126,322,558,453,270,134,61,31,59,2342,6.75,363,788,1171,221,28,344,3.3,6,8,22,9,5,2,9,3.2,0,0,1,0,0,0,64,3.9,2,4,1,0,1,1,25,3.2,1,0,0,1,0,0,7,3.1,0,0,1,0,0,0
Yeh Jawaani Hai Deewani,2013,tt2178470,221160,75,62,117,152,117,54,27,19,18,58,699,6.49,266,560,429,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escape from Planet Earth,2013,tt0765446,176841,186,102,236,457,706,537,249,123,77,136,2809,5.85,259,1023,2001,371,52,132,3.3,0,2,12,3,0,0,5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.8,0,0,0,1,0,0,11,3.1,0,0,0,0,0,0
Mandela: Long Walk to Freedom,2013,tt2304771,204700,210,187,414,586,335,115,37,32,15,94,2025,6.99,83,320,533,79,15,1741,4.2,36,92,60,21,6,2,25,3.2,0,2,3,1,0,0,29,3.7,1,3,0,0,0,0,35,3.5,0,1,4,0,0,0,13,3.4,0,0,1,0,0,0
Getaway,2013,tt2167202,207526,143,52,104,208,323,492,460,354,299,418,2853,4.38,19,87,292,359,110,299,2.4,1,3,11,15,10,8,0,0,0,0,0,0,0,0,73,4,2,3,1,5,0,1,37,2.4,0,0,1,0,1,3,14,3.6,0,0,0,0,0,0
How I Live Now,2013,tt1894476,200881,256,191,459,765,517,272,129,67,43,45,2744,6.78,68,128,350,193,32,524,3.7,8,23,39,17,6,0,17,3.5,0,0,1,0,0,0,34,3.9,2,1,2,0,0,0,10,3.3,0,1,0,1,0,0,8,3.3,0,0,1,0,0,0
Charlie Countryman,2013,tt1196948,181402,220,197,419,596,423,250,128,46,41,84,2404,6.70,194,490,1021,391,54,676,3.6,6,46,30,20,4,1,7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3.3,0,5,0,0,0,0,12,3.3,0,2,0,0,0,0
Upstream Color,2013,tt2084989,216486,597,659,949,807,463,312,185,101,99,162,4334,7.13,118,318,613,257,113,43,3,2,1,1,1,0,1,9,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2.9,0,0,0,0,0,0,6,2.7,0,0,0,0,0,1
Free Birds,2013,tt1621039,214797,158,81,193,374,579,410,228,123,88,152,2386,5.70,198,826,2641,1053,232,104,3.1,1,3,7,2,0,0,21,3,0,0,0,2,0,0,184,3.8,6,2,5,3,4,3,11,3.1,0,0,0,0,0,0,18,3.4,1,0,1,0,0,0
Fading Gigolo,2013,tt2258345,204226,77,105,240,418,404,200,93,42,24,88,1691,6.28,22,51,64,9,1,1079,3.1,7,34,73,41,10,5,34,2.8,0,2,3,0,1,1,79,3.6,1,6,5,1,1,0,14,3.2,0,0,0,0,0,0,8,3,0,0,0,0,0,0
Closed Circuit,2013,tt2218003,206103,55,66,241,550,669,390,149,53,24,53,2250,6.11,32,199,671,208,18,262,3.1,1,6,10,17,2,0,0,0,0,0,0,0,0,0,19,3.4,0,0,0,0,0,0,12,3,0,0,1,0,0,0,8,3,0,1,0,1,0,0
Knights of Badassdom,2013,tt1545660,182828,235,129,262,421,536,388,224,146,72,106,2519,6.07,4,17,66,76,59,74,3,0,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krrish 3,2013,tt1029231,224566,68,19,36,55,48,52,35,22,27,74,436,5.52,18,29,176,65,24,137,2.3,1,3,6,5,3,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince Avalanche,2013,tt2195548,216513,122,174,511,821,711,358,187,102,55,58,3099,6.42,192,793,621,80,22,286,3.2,1,9,18,9,5,2,4,3.1,0,0,0,0,0,0,9,3.3,0,1,0,0,0,0,19,3.4,0,1,1,0,0,0,4,3.1,0,0,0,0,0,0
Ain't Them Bodies Saints,2013,tt2388637,206994,249,382,508,824,616,303,125,50,34,79,3170,6.87,69,322,728,198,30,615,3,3,20,34,32,12,3,11,3.3,0,0,1,0,0,0,12,3.3,0,0,0,0,0,0,11,3.3,0,4,1,0,0,0,12,3.4,0,0,1,1,0,0
Doragon bôru Z: Kami to kami,2013,tt2263944,211245,288,130,233,200,101,70,32,27,9,50,1140,7.50,1279,1983,2292,482,142,0,0,0,0,0,0,0,0,44,3.5,2,2,0,0,0,0,1213,4.6,44,15,22,16,4,5,11,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palo Alto,2013,tt2479800,223474,158,141,339,541,515,319,140,74,55,96,2378,6.32,4,23,24,4,1,774,3.3,6,14,39,23,5,2,4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,1,0,0,0,0,0,6,3.2,0,0,1,0,0,0
Diana,2013,tt1758595,199230,63,46,66,141,203,191,117,73,49,86,1035,5.41,1112,2142,3454,1367,1039,877,2.6,9,19,46,65,29,8,20,2.6,0,0,0,1,1,0,72,3.7,2,2,0,3,1,0,12,3.1,0,0,0,0,0,0,12,2.8,0,2,0,0,0,1
We Are What We Are,2013,tt2309021,207102,106,127,290,525,549,390,196,87,65,86,2421,6.07,7,49,201,169,48,269,2.7,4,10,15,15,5,2,10,2.8,0,0,0,1,0,0,52,3.3,1,5,4,2,1,2,15,3.1,0,3,0,1,0,0,7,2.9,0,0,0,1,0,0
The Starving Games,2013,tt2403029,207465,97,36,71,82,153,203,187,194,199,479,1701,3.87,156,357,1300,989,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1.7,2,0,0,1,3,11,0,0,0,0,0,0,0,0
Metallica Through the Never,2013,tt2172935,204516,287,150,299,329,186,97,44,24,12,64,1492,7.27,119,215,188,44,15,464,4,23,35,26,13,8,4,14,3.4,0,0,2,0,0,0,100,4.3,5,3,0,0,0,0,31,3.6,0,2,0,1,0,0,11,3.4,1,2,0,0,0,0
The Haunting in Connecticut 2: Ghosts of Georgia,2013,tt1457765,196797,119,56,163,291,336,395,269,169,94,122,2014,5.42,50,207,856,457,98,207,2.8,2,5,15,11,10,3,32,2.3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,11,3.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Best Man Holiday,2013,tt2083355,221549,685,342,548,592,342,159,75,47,29,152,2971,7.39,15,42,151,63,10,81,3.6,2,0,1,0,0,0,3,3.1,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lifeguard,2013,tt2265534,210256,160,108,213,436,512,405,239,121,73,99,2366,5.91,38,170,430,141,24,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,9,3.1,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0
Temptation: Confessions of a Marriage Counselor,2013,tt2070862,203544,362,134,248,297,302,287,200,163,182,720,2895,5.01,20,71,98,32,7,18,3.4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,1,0,0,0,0,0,3,3.1,0,0,0,0,0,0
Race 2,2013,tt1375789,206726,20,7,23,42,47,70,49,29,21,57,365,4.81,37,134,217,48,14,4,3.2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0
A.C.O.D.,2013,tt1311060,196863,65,35,144,370,602,368,148,54,42,51,1879,5.88,4,20,56,19,1,100,2.3,0,1,3,7,0,1,5,3.1,1,0,1,0,0,0,17,3.1,0,1,0,1,0,0,5,2.9,0,0,0,0,0,0,4,3,0,0,0,0,0,0
Life of Crime,2013,tt1663207,179186,59,31,96,291,374,259,79,34,30,57,1310,5.91,119,59,22,6,45,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,14,2.7,0,0,0,0,0,0,5,3,0,0,0,0,0,0,8,3,0,0,0,1,0,0
Lootera,2013,tt2224317,221728,46,51,73,53,35,29,8,7,6,16,324,7.13,10,25,46,21,3,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Grand Seduction,2013,tt2319580,207118,59,59,175,282,167,49,24,7,3,14,839,7.01,178,263,71,11,14,43,3.1,1,3,1,3,0,0,17,3.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Canyons,2013,tt2292959,208744,106,26,77,106,172,211,256,223,230,369,1776,4.09,9,36,178,373,182,345,2,2,7,19,21,12,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.9,0,0,0,0,0,0,5,2.9,0,0,0,0,0,0
Go Goa Gone,2013,tt2436516,219097,22,14,41,83,59,33,20,7,8,22,309,6.19,14,44,138,67,23,6,3.2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The English Teacher,2013,tt2055765,197504,51,34,81,199,304,167,72,48,20,32,1008,5.97,55,282,858,173,11,88,2.8,0,1,2,3,1,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scenic Route,2013,tt2012011,219016,116,102,270,436,300,148,62,37,19,37,1527,6.72,77,362,402,103,27,178,3.2,1,14,11,8,1,0,3,3,0,0,0,0,0,0,6,3,0,0,1,1,0,0,6,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hell Baby,2013,tt2318527,205153,116,57,118,234,326,337,192,138,85,90,1693,5.52,2,8,19,48,65,17,2.9,1,0,2,0,0,0,3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.9,0,0,1,0,0,0,3,2.9,0,0,0,0,0,0
Hammer of the Gods,2013,tt2193418,216630,45,17,43,70,104,141,128,83,54,78,763,4.87,13,30,189,269,172,178,2,2,1,7,9,4,10,0,0,0,0,0,0,0,0,17,2.7,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afternoon Delight,2013,tt2312890,216294,61,57,111,252,289,200,102,44,34,50,1200,5.97,3,26,88,30,5,84,2.7,0,2,3,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baggage Claim,2013,tt1171222,133723,111,40,88,162,276,252,181,127,101,128,1466,5.22,3,8,49,25,8,151,3,1,1,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escape from Tomorrow,2013,tt2187884,218031,124,63,210,315,419,343,241,179,143,178,2215,5.37,10,20,31,22,18,36,2.3,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.1,0,0,0,0,0,0,4,3,0,0,0,0,0,0
Love and Honor,2013,tt1976989,187819,75,23,64,113,184,119,69,39,27,50,763,5.84,5,13,64,37,9,106,2.8,0,0,3,3,1,0,9,3.3,0,0,0,0,0,0,69,4,1,0,2,2,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.B.F.,2013,tt2429074,225054,239,107,183,207,212,129,74,45,30,74,1300,6.73,19,60,180,39,8,13,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nurse 3D,2013,tt1913166,196016,57,21,55,107,151,164,143,103,87,88,976,4.94,316,533,1155,975,699,0,0,0,0,0,0,0,0,4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fukrey,2013,tt2806788,221498,18,14,31,57,32,19,6,6,5,13,201,6.49,920,1988,937,177,185,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pretty One,2013,tt2140577,205771,68,37,100,164,127,60,19,10,5,23,613,6.79,223,526,454,93,74,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0
Matru ki Bijlee ka Mandola,2013,tt2106537,216663,24,24,20,42,48,31,26,11,12,29,267,5.78,736,1177,1189,503,557,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimme Shelter,2013,tt1657510,193548,210,84,180,253,196,117,66,42,20,57,1225,6.79,3,22,66,12,2,91,3.4,2,7,5,10,2,0,4,3.2,0,0,0,0,0,0,15,3.6,1,1,0,0,0,0,4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,tt2395385,223482,60,28,100,187,255,174,84,46,37,42,1013,5.87,11,35,87,61,8,14,2.7,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,2.9,0,0,0,1,1,0,5,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thalaivaa,2013,tt2617676,222891,33,1,3,6,6,15,1,1,1,9,76,7.03,2024,460,292,175,701,25,3.5,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Look of Love,2013,tt1951216,203726,16,13,32,83,107,65,27,16,10,16,385,5.90,36,210,578,137,17,241,2.6,3,9,20,21,6,1,6,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,3.2,0,2,2,0,0,0,5,3.2,0,0,0,0,0,0
Shuddh Desi Romance,2013,tt2988272,222976,8,11,23,38,39,30,16,10,9,20,204,5.61,433,972,995,420,460,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Life of a King,2013,tt2708254,225966,67,29,80,143,77,29,7,7,3,25,467,6.98,9,39,70,10,2,5,3.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,3.5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Heat,2013,tt2083231,198266,19,4,13,27,67,87,55,25,23,32,352,4.91,11,27,185,190,53,0,0,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,4,3.1,1,0,0,0,0,0,8,2.9,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0
Peeples,2013,tt1699755,185918,98,36,97,179,238,218,120,79,39,125,1229,5.51,3,14,54,22,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Madea Christmas,2013,tt2609758,216060,206,63,107,117,153,102,68,67,70,354,1307,5.12,855,364,316,213,952,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
