Name,Year,imdb ID,Allo ID,imdb 10,imdb 9,imdb 8,imdb 7,imdb 6,imdb 5,imdb 4,imdb 3,imdb 2,imdb 1,douban 5,douban 4,douban 3,douban 2,douban 1,frNumVot,frRat,fr 5,fr 4,fr 3,fr 2,fr 1,fr 0,esNumVot,esRat,es 5,es 4,es 3,es 2,es 1,es 0,ptNumVot,ptRat,pt 5,pt 4,pt 3,pt 2,pt 1,pt 0,deNumVot,deRat,de 5,de 4,de 3,de 2,de 1,de 0,trNumVot,trRat,tr 5,tr 4,tr 3,tr 2,tr 1,tr 0
Evidence,2013,tt1828970,196862,44,26,55,124,156,134,97,54,45,51,,,,,,180,2.4,1,9,12,7,6,8,3,3,0,0,0,0,0,0,15,3.1,2,0,0,1,0,0,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Evidence,2013,tt1828970,50734,44,26,55,124,156,134,97,54,45,51,,,,,,35,2.6,1,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Cheerleaders Die,2013,tt2527186,223741,77,36,96,177,195,195,112,68,45,56,,,,,,46,3,0,2,4,4,1,0,6,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.9,0,3,2,0,0,0,0,0,0,0,0,0,0,0
Banshee Chapter,2013,tt2011276,196497,57,28,114,171,193,167,97,60,24,32,,,,,,4,2.9,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Wer,2013,tt2229511,203320,49,38,91,149,156,89,36,23,8,19,,,,,,34,2.9,0,3,2,2,2,0,4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.3,0,0,2,0,0,0,4,3.1,0,0,0,0,0,0
Shuddh Desi Romance,2013,tt2988272,222976,8,11,23,38,39,30,16,10,9,20,433,972,995,420,460,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro,2013,tt2649128,216727,21,7,10,33,23,10,5,3,6,7,,,,,,6,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,3.4,1,2,1,0,0,0,8,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jug Face,2013,tt2620736,217602,50,33,92,217,246,200,120,74,40,65,,,,,,11,2.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Tesis sobre un homicidio,2013,tt2241605,208342,14,9,22,47,34,33,7,3,1,6,,,,,,134,2.9,0,4,8,8,6,0,36,2.8,0,1,3,0,1,0,95,3.8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0
Blue Caprice,2013,tt2027064,196891,97,47,115,243,253,145,72,23,18,55,,,,,,23,3,0,1,1,1,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Life of a King,2013,tt2708254,225966,67,29,80,143,77,29,7,7,3,25,9,39,70,10,2,5,3.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,3.5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Is Bright,2013,tt1462901,223547,26,12,62,153,215,188,85,53,26,36,,,,,,6,2.8,0,0,0,0,1,0,3,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2.8,0,0,1,0,0,0,3,2.9,0,0,0,0,0,0
Metro Manila,2013,tt1845838,215337,50,69,117,82,21,16,5,2,2,8,,,,,,575,4.1,18,61,32,3,3,2,7,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,5,3.1,0,0,0,0,0,0
3096 Tage,2013,tt1667355,182270,16,5,16,25,29,14,3,6,2,9,,,,,,27,3.3,0,4,2,0,0,0,4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3.5,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Java Heat,2013,tt2083231,198266,19,4,13,27,67,87,55,25,23,32,11,27,185,190,53,0,0,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0,4,3.1,1,0,0,0,0,0,8,2.9,0,0,0,0,0,0,4,3.1,0,0,0,0,0,0
Peeples,2013,tt1699755,185918,98,36,97,179,238,218,120,79,39,125,3,14,54,22,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubinrot,2013,tt2418558,203871,29,8,26,30,40,22,12,10,9,17,,,,,,376,3.7,10,10,6,11,5,4,15,3.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,134,3.5,6,3,2,6,1,8,3,3,0,0,0,0,0,0
Besharam,2013,tt2576450,223602,10,0,3,12,11,19,20,15,29,53,,,,,,8,3.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin and the Knights of Valour,2013,tt1639826,206737,19,6,18,53,53,32,10,7,9,21,,,,,,6,3.1,0,1,0,0,0,0,34,3.6,1,0,1,1,0,0,32,3.8,1,0,0,1,0,0,8,3.2,0,0,0,0,0,0,6,3.1,0,0,0,0,0,0
Sweetwater,2013,tt2224004,216514,50,33,103,200,167,96,42,27,9,30,,,,,,792,3.2,7,38,59,23,4,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Town,2013,tt2234025,203743,92,80,192,298,183,96,40,16,10,19,,,,,,4,3.1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0
A Madea Christmas,2013,tt2609758,216060,206,63,107,117,153,102,68,67,70,354,855,364,316,213,952,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satyagraha,2013,tt2275802,222920,11,2,18,22,28,23,9,13,8,15,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
